"AED모델명","우편번호(앞자리)","우편번호(뒤자리)","관리책임자명","관리자연락처","설치기관주소","설치기관전화번호","설치위치","제조사","설치기관명","경도","위도"
"HeartOn A10","083","57","이관복","02-2618-9666","서울특별시 구로구 경인로8길 64 (오류동 영풍마드레빌아파트)","0226189666","정문 경비실","메디아나","오류영풍마드레빌아파트","126.8386393731","37.4915381618"
"HeartOn A10","082","08","이현경","02-2672-6726","서울특별시 구로구 경인로 643  (신도림동 신도림2차동아아파트)","0226726726","관리사무소 입구","메디아나","신도림2차동아아파트","126.8863319762","37.5085578092"
"HeartOn A10","083","75","허진범","02-830-1380","서울특별시 구로구 디지털로31길 85 구로두산위브아파트 (구로동 구로두산위브)","028301380","정문 경비실","메디아나","구로두산위브아파트","126.8912727917","37.4863736841"
"HeartOn A10","082","24","조위구","02-2615-5823","서울특별시 구로구 중앙로5길 62  (고척동 서울가든아파트)","0226155823","노인정 할아버지방","메디아나","서울가든아파트","126.8623360101","37.5002152927"
"HeartOn A10","082","57","박인보","02-2688-2016","서울특별시 구로구 오리로 1265 (궁동 우신빌라)","0226882016","관리사무소 입구","메디아나","우신빌라","126.8273950228","37.5009653448"
"HeartOn A10","082","05","유자강","02-2671-4933","서울특별시 구로구 신도림로11가길 36  (신도림동 미성아파트)","0226714933","관리사무소 앞","메디아나","신도림미성아파트","127.0198218367","37.5156608097"
"Heart On A10","083","25","김해준","02-586-4064","서울특별시 구로구 구일로2길 60  (구로동 구일우성아파트)","02-856-4064","기전실","메디아나","구일우성아파트","126.8753857563","37.4928092228"
"HeartPro NT-280","017","81","안정철","02-948-7737","서울특별시 노원구 동일로208길 19(중계동 중계무지개아파트)","02-948-7737","(중계2.3동) 210동 경비실 옆","(주)나눔테크","중계무지개아파트","127.0653249037","37.6449436955"
"AED-1200L","075","05","김영식","02-2660-4121","서울특별시 강서구 하늘길 76","02-2660-4047","국제선 2층 입국심사대","NIHON KOHDEN","한국공항공사 서울지역본부","126.8007710381","37.5658348823"
"AED-1200L","075","05","김영식","02-2660-4121","서울특별시 강서구 하늘길 76","02-2660-4047","국제선 3층 38Gate","NIHON KOHDEN","한국공항공사 서울지역본부","126.8009152759","37.5657367369"
"i-PAD NF1200","014","05","방효진","02-3499-6905","서울특별시 도봉구 노해로 313 북부교육청 (창동)","02-3499-6905","1층 현관","씨유메디칼","서울북부교육지원청","127.0433588771","37.6516646978"
"HEARTSTART FRx","061","64","김상기","02-6000-0112","서울특별시 강남구 영동대로 513 코엑스 (삼성동)","0260000112","전시/컨벤션 3층 컨벤션 지원센터","필립스","코엑스","127.0591590438","37.5118239121"
"HEARTSTART FRx","061","64","김상기","02-6000-0112","서울특별시 강남구 영동대로 513 코엑스 (삼성동)","0260000112","전시/컨벤션 2층 컨벤션 지원센터","필립스","코엑스","127.0591590438","37.5118239121"
"Heartstart FRX","073","05","김동석","02-2638-2152","서울특별시 영등포구 영중로 15","02-2638-2152","Gate 11번 안쪽","필립스","경방타임스퀘어","126.9037159937","37.5172332566"
"i-PAD NFK200","043","90","김동수","010-4542-5355","서울특별시 용산구 녹사평대로 150 용산구보건소","02-2199-8184","용산구 보건소 1층","(주)씨유네트웍스","용산구보건소","126.9897029779","37.5323925272"
"NF1200","063","49","황길훈","2226-4057","서울특별시 강남구 밤고개로1길 52 강남스포츠문화센터 (수서동)","22264057","1층 안내데스크 옆","씨유메디칼","강남스포츠문화센터","127.1052800262","37.4889993387"
"AED3100","039","19","오쿠다나오","572-0011","서울특별시 마포구 월드컵북로62길 11","02-572-7011","2층 현관","니혼코덴","일본인학교","126.8844154493","37.5836103042"
"AEDPLUS","052","76","노경란","02-3425-7430","서울특별시 강동구 고덕로80길 111","02-3425-7430","상일동주민센터","Zoll","상일동주민센터","127.1683006439","37.5505830263"
"AEDPLUS","052","99","정진숙","02-3425-7184","서울특별시 강동구 상암로 260","02-3425-7490","명일제2동 주민자치센터","Zoll","명일제2동주민센터","127.1509776198","37.5461462601"
"AEDPLUS","052","62","이병근이정훈","02-3425-7580","서울특별시 강동구 올림픽로98가길 57","0234257580","암사제1동주민센터","Zoll","암사제1동주민센터","127.1322946498","37.5513188415"
"AEDPLUS","052","41","암사제2동장","02-3425-7610","서울특별시 강동구 상암로3길 28","0234257610","암사제2동주민센터","Zoll","암사제2동주민센터","127.1272708600","37.5517062961"
"AEDPLUS","052","36","암사제3동장","02-3425-7640","서울특별시 강동구 고덕로 137","0234257640","암사제3동주민센터","Zoll","암사제3동주민센터","127.1430397571","37.5566248997"
"D-100 Series","053","12","조혜현","02-3425-7670","서울특별시 강동구 구천면로42길 59","0234257670","천호제1동주민센터","Defibtech LLC","천호제1동주민센터","127.1364167918","37.5448822834"
"D-100 Series","053","27","천호제2동장","02-3425-7700","서울특별시 강동구 올림픽로 698","0234257700","천호제2동주민센터","Defibtech LLC","천호제2동주민센터","127.1250475685","37.5432460587"
"D-100 Series","053","34","김지형","02-3425-7730","서울특별시 강동구 진황도로23길 7","02-3425-7730","임시청사 16층 주민센터 출입구","Defibtech LLC","천호제3동주민센터","127.1331155953","37.5366048791"
"D-100 Series","053","88","김영호","02-3425-7790","서울특별시 강동구 풍성로37가길 62","02-3425-7790","성내제2동주민센터","Defibtech LLC","성내제2동주민센터","127.1291141561","37.5322230710"
"D-100 Series","054","05","정추진","02-3425-7820","서울특별시 강동구 강동대로53길 76","02-3425-7820","성내제3동주민센터","Defibtech LLC","성내제3동주민센터","127.1324252028","37.5259670810"
"G5A-19PO","011","45","이승미","02-901-7720","서울특별시 강북구 한천로 897 강북보건소번2동 주민센터 (번동)","02-901-7744","특수구급차 내","Cardiac","강북구보건소","127.0390622179","37.6318813026"
"HEARTSTART FRx","049","63","심예슬","010-8162-9379","서울특별시 광진구 워커힐로 177  (광장동)","02-2022-0156","비스타호텔 1층 프론트","필립스","sk네트웍스(주)워커힐","127.1117068359","37.5586287308"
"HEARTSTART FRx","049","63","심예슬","010-8162-9379","서울특별시 광진구 워커힐로 177  (광장동)","02-2022-0156","비스타호텔 보안과 사무실 내","필립스","sk네트웍스(주)워커힐","127.1117068359","37.5586287308"
"HeartOn A10","082","99","진재군","02-2620-7619","서울특별시 구로구 구로중앙로28길 66 구로5동 주민센터 구로구보건소 (구로동)","0226207619","민원실","메디아나","구로5동주민센터","126.8893213487","37.5000803887"
"HeartOn A10","083","89","김재화","02-2620-7704","서울특별시 구로구 디지털로26길 5 에이스하이엔드타워1차 (구로동)","0226207709","민원실","메디아나","가리봉주민센터","126.8934793121","37.4816105919"
"HeartOn A10","082","25","김보라","010-3068-5860","서울특별시 구로구 중앙로3길 18-8 고척1동주민센터 (고척동)","0226207832","민원실","메디아나","고척1동주민센터","126.8627853924","37.5004057409"
"HeartOn A10","082","40","이소영","016-283-9129","서울특별시 구로구 중앙로15길 22 고척2동 주민센터 (고척동)","02-2620-7995","1층 민원실 입구 안쪽 벽","메디아나","고척2동주민센터","126.8586052611","37.5066920780"
"HeartOn A10","082","37","김경환","02-2620-7165","서울특별시 구로구 경인로33길 51 개봉1동 주민센터 (개봉동)","02-2620-7165","민원실","메디아나","개봉1동주민센터","126.8507751238","37.5000736162"
"HeartOn A10","083","32","최흥복","010-***-****","서울특별시 구로구 개봉로16가길 17 개봉2동주민센터 (개봉동)","02-2620-7281","2층 민원실 입구 왼쪽에 위치","메디아나","개봉2동주민센터","126.8565440612","37.4908280203"
"HeartOn A10","083","42","여남경","02-2620-7575","서울특별시 구로구 오류로 45 오류2동주민센터 (오류동)","02-2620-7554","1층","메디아나","오류2동주민센터","126.8395132926","37.4888135366"
"HeartOn A10","082","56","이다은","010-9280-7800","서울특별시 구로구 오리로15길 32 수궁동주민센터 (궁동)","02-2620-7674","민원실","메디아나","수궁동주민센터","126.8314922706","37.4938419679"
"HeartOn A10","083","91","이재원","010-5599-7585","서울특별시 구로구 도림천로 477 구로디지털단지역 (구로동)","02-6110-2321","가게이트 오른쪽벽면개찰구 옆","메디아나","2호선 구로디지털단지역","126.9014943784","37.4853149237"
"HeartOn A10","083","04","신종철","010-9224-5127","서울특별시 구로구 도림천로 352 서울메트로 (구로동)","6110-2331","대림역 가-안내부스 옆(개찰구 앞)","메디아나","대림역(2호선)","126.8940625816","37.4933127729"
"HeartOn A10","082","88","최재문","010-***-****","서울특별시 구로구 새말로 지하 117-21 신도림역(2호선) (신도림동)","02-6110-2341","2번출구 대합실","메디아나","신도림역(2호선)","126.8911091618","37.5087389066"
"HeartOn A10","082","00","김명숙","02-6110-2441","서울특별시 구로구 경인로67길 160 도림천역 (신도림동)","0261102441","역무실앞","메디아나","도림천역","126.8825050624","37.5092159177"
"HeartOn A10","083","20","김종훈","02-6311-7450","서울특별시 구로구 도림로 지하 7 남구로역 (구로동)","0263117450","고객상담실옆","메디아나","남구로역","126.8872846825","37.4857308314"
"HeartOn A10","083","42","이용준","02-6311-7490","서울특별시 구로구 오리로 지하 1154 천왕역 (천왕동)","02-6311-7490","역무실앞","메디아나","7호선 천왕역","126.8385928038","37.4869051210"
"HeartOn A10","082","64","전철수","011-277-8562","서울특별시 구로구 경인로3길 지하 64 7호선 온수역 (온수동)","02-6311-7500","고객상담실옆","메디아나","온수역(7호선)","126.8232782663","37.4918621689"
"HeartOn A10","082","28","조성식","02-2066-2954","서울특별시 구로구 고척로60길 30 (고척동 벽산베스트블루밍아파트)","0220662954","관리사무소","메디아나","고척벽산베스트블루밍아파트","126.8591177249","37.5047010199"
"HeartOn A10","083","13","김성복","02-839-2051","서울특별시 구로구 도림로 59 구로두산아파트 (구로동 구로두산아파트)","028392051","1층 관리실 내(임대동)","메디아나","구로두산아파트(임대)","126.8889131723","37.4885759540"
"HeartON A10","043","42","남영재","02-2199-8647","서울특별시 용산구 회나무로13길 58","02-2199-8646","민원실 내부","(주) 메디아나","이태원2동주민센터","126.9901955289","37.5419038559"
"HeartOn A10","065","45","백애경","010-6363-7342","서울특별시 서초구 신반포로 지하 188 강남고속터미널역 (반포동)","02-2656-0923","대합실 B1층","메디아나","9호선고속터미널역","127.0044420963","37.5046471827"
"HeartOn A10","082","53","강준오","02-2614-5688","서울특별시 구로구 고척로 49 210동 제2관리사무소","0226145688","관리사무소 입구","메디아나","오류동동부골든아파트 제2관리사무소(임대)","126.8413689995","37.5000072590"
"Heart On A10","045","15","이병렬","02-6110-1321","서울특별시 중구 서소문로 지하 127 시청역 2호선 (서소문동)","02-6110-2011","역무실 앞","(주)메디아나","시청역(2호선)","126.9762422198","37.5639270398"
"Heart On A10","045","57","라은주","02-6110-4231","서울특별시 중구 퇴계로 지하 199","02-6110-4231","지하1층 역무실 앞","메디아나","34호선 충무로역","126.9941100077","37.5611731348"
"Heart On A10","046","34","김명재","02-6110-4251","서울특별시 중구 퇴계로 지하 54 회현역 4호선 (남창동)","0261104251","고객안전실 앞","메디아나","4호선 회현역","126.9782391472","37.5585353196"
"Heart On A10","045","49","최성호","02-6110-2030","서울특별시 중구 을지로 지하 129 을지로3가역 3호선 (을지로3가)","0261102030","역무실 앞","메디아나","3호선 을지로3가역","126.9926500243","37.5662750350"
"Heart On A10","045","97","유왕식","3396-6402","서울특별시 중구 다산로 지하 122","33966402","역무실 앞","메디아나","3호선 약수역","127.0108225267","37.5545595558"
"Heart On A10","045","98","김성훈","02-6311-6330","서울특별시 중구 다산로 지하 115","0263116330","지하 2층 엘리베이터 옆","메디아나","6호선 약수역","127.0101205435","37.5538914380"
"Heart On A10","045","48","역장","02-6110-2041","서울특별시 중구 을지로 지하 178 을지로4가역 2호선 (을지로4가)","0261102041","역무실 앞","메디아나","2호선 을지로4가역","126.9978527802","37.5666369941"
"Heart On A10","045","46","배성균","02-6311-5351","서울특별시 중구 창경궁로8길 2 (주교동)","0263115351","역무실 앞","(주)메디아나","을지로4가역(5호선)","126.9969662467","37.5728897930"
"Heart On A10","046","17","이가영","02-6110-3321","서울특별시 중구 동호로 지하 256 동대입구역 3호선 (장충동2가)","0261103321","역무실 앞","메디아나","3호선 동대입구역","127.0054601969","37.5590302243"
"Heart On A10","046","08","박선덕","02-6311-5370","서울특별시 중구 청구로 지하77 청구역 56호선 (신당동)","0263115370","역무실 앞","(주)메디아나","56호선 청구역","127.0138080439","37.5602931014"
"Heart On A10","046","08","박선덕","02-6311-5370","서울특별시 중구 청구로 지하77 청구역 56호선 (신당동)","0263115370","역무실 앞","메디아나","56호선 청구역","127.0138060068","37.5602939125"
"Heart On A10","045","95","김기택","02-6311-6320","서울특별시 중구 다산로 지하 38 버티고개역 6호선 (신당동)","0263116320","B1층 i센터옆","메디아나","6호선 버티고개역","127.0068852342","37.5479949973"
"i-PAD NFK200","045","88","이재혁","02-2252-4953","서울특별시 중구 청구로1길 23","02-2236-8496","경비2초소","씨유메디칼","신당삼성아파트(분양)","127.0184480192","37.5585373253"
"Heart On A10","045","87","한동복","02-2256-6994","서울특별시 중구 청구로 64(신당동 청구 e편한세상)","0222566994","관리사무소임대동","메디아나","청구이편한세상","127.0154510191","37.5599601596"
"Heart On A10","045","80","김운필","02-2253-3601","서울특별시 중구 왕십리로39길 30(신당동 한진해모로)","0222533601","관리사무소","메디아나","한진그랑빌아파트","127.0257107394","37.5637284114"
"Heart On A10","045","05","김기범","02-365-2997","서울특별시 중구 서소문로6길 21(중림동 리하우스(LEEHAUS))","023652997","관리사무소","메디아나","리하우스","126.9666324653","37.5599142889"
"Heart On A10","046","37","김건호","02-2096-8221","서울특별시 중구 한강대로 410 서울남대문경찰서 (남대문로5가)","0220968221","1층로비","(주)메디아나","남대문경찰서","126.9735493469","37.5548128824"
"Heart On A10","045","52","황선희","02-3396-9321","서울특별시 중구 수표로 27 서울중부경찰서 (저동2가)","0233969321","1층 현관문 옆","메디아나","서울중부경찰서","126.9900206397","37.5636321301"
"HeartOn A10","028","51","관리자","6311-6381","서울특별시 성북구 보문로 지하 116 (보문동1가)","63116381","지하2층","메디아나","보문지하철역","127.0193875500","37.5853291653"
"HeartOn A10","028","42","박상민","6311-6391","서울특별시 성북구 인촌로 지하 89 (안암동5가)","63116391","지하2층 아이센터 맞은편","메디아나","6호선 안암역","127.0292152937","37.5862785907"
"HeartOn A10","028","41","역장","6311-6411","서울특별시 성북구 종암로 지하 1 (종암동)","02-6311-6401","지하1층","메디아나","고려대지하철역","127.0362868728","37.5906482443"
"HeartOn A10","027","99","한상훈","6311-6411","서울특별시 성북구 월곡로 지하 107 (하월곡동)","02-6311-6411","지하2층 개찰구 옆","메디아나","6호선 월곡역","127.041184201","37.6014224941"
"heartpro NT-280","017","94","배문정","02-970-9528","서울특별시 노원구 화랑로 727 대한체육회선수촌 (공릉동)","02-970-9528","본관 1층","카디악사이언스","체육과학연구원","127.1016920697","37.6347814286"
"heartpro NT-280","017","94","배문정","02-970-9528","서울특별시 노원구 화랑로 727 대한체육회선수촌 (공릉동)","02-970-9528","(공릉2동) 본관1층","Cardiac Science Co. USA","체육과학연구원","127.1016920697","37.6347814286"
"HeartOn A10","049","91","이동진","0263117261","서울특별시 광진구 능동로 지하 210 .","02-6311-7260","대합실 지하 2층 카드게이트 벽면건대입구 방향","메디아나","어린이대공원역","127.0745499250","37.5478712033"
"HeartOn A10","050","96","이동진","0263117281","서울특별시 광진구 능동로 10 .","02-6311-7281","대합실 문 안쪽 벽면","(주)메디아나","뚝섬유원지역","127.0667193227","37.5315872511"
"AED2100-K","017","94","배문정","02-970-0062","서울특별시 노원구 화랑로 727 대한체육회선수촌 (공릉동)","02-970-0062","(공릉2동) 선수 식당 앞","니혼코덴","대한체육회부속의원태릉선수촌","127.1016920697","37.6347814286"
"AED2100-K","017","94","배문정","02-970-0062","서울특별시 노원구 화랑로 727 대한체육회선수촌 (공릉동)","02-970-0062","공릉2동 여자 숙소","니혼코덴","대한체육회부속의원태릉선수촌","127.1016920697","37.6347814286"
"AED2100-K","017","94","배문정","02-970-0062","서울특별시 노원구 화랑로 727 대한체육회선수촌 (공릉동)","02-970-0062","공릉2동 월계관","니혼코덴","대한체육회부속의원태릉선수촌","127.1016920697","37.6347814286"
"AED2100-K","017","94","배문정","02-970-0062","서울특별시 노원구 화랑로 727 대한체육회선수촌 (공릉동)","02-970-0062","공릉2동 실내 빙상장","니혼코덴","대한체육회부속의원태릉선수촌","127.1016920697","37.6347814286"
"AED2100-K","017","94","배문정","02-970-0062","서울특별시 노원구 화랑로 727 대한체육회선수촌 (공릉동)","02-970-0062","공릉2동 국제 스케이트 장","니혼코덴","대한체육회부속의원태릉선수촌","127.1016920697","37.6347814286"
"Heart ON A10","045","15","이현섭","02-2124-8827","서울특별시 중구 덕수궁길 61 서울시립미술관 (서소문동)","0221248827","1층 안내데스크","(주)메디아나","서울시립미술관","126.9756149637","37.5645549063"
"Hearton A10","031","61","최강호","02-6110-1311","서울특별시 종로구 종로 지하 55 종각지하철역사 (종로1가)","02-6110-1311","역무실 앞","메디아나","종각역","126.9814177897","37.5702322358"
"Hearton A10","031","39","윤한승","6110-1301","서울특별시 종로구 종로 지하 129 1호선 종로3가역 (종로3가)","02-6110-1301","대합실 고객안내 부스","메디아나","1호선 종로3가역","126.9908945093","37.5704495859"
"NF1200","043","20","한윤도","02-3149-2510","서울특별시 용산구 한강대로 405","0231492540","3층 매표소","(주)씨유네트웍스","한국철도공사 서울역","126.9710695432","37.5523940223"
"NF1200","043","20","한윤도","02-3149-2510","서울특별시 용산구 한강대로 405","0231492540","1~2번 경의선 승강장","(주)씨유네트웍스","한국철도공사 서울역","126.9710695432","37.5523940223"
"NF1200","043","20","한윤도","02-3149-2510","서울특별시 용산구 한강대로 405","0231492540","9~10번 승강장","(주)씨유네트웍스","한국철도공사 서울역","126.9710695432","37.5523940223"
"NF1200","043","20","한윤도","02-3149-2510","서울특별시 용산구 한강대로 405","0231492540","11~12번 승강장","(주)씨유네트웍스","한국철도공사 서울역","126.9710695432","37.5523940223"
"NF1200","043","20","한윤도","02-3149-2510","서울특별시 용산구 한강대로 405","0231492540","13~14번 승강장","(주)씨유네트웍스","한국철도공사 서울역","126.9710695432","37.5523940223"
"자동제세동기 NF1200","079","87","노영재","02-2647-0049","서울특별시 양천구 목동동로 350 (목동 목동신시가지아파트5단지)","0226470049","1층 관리사무소","나눔테크","목동신시가지아파트5단지","126.8813161966","37.5334953816"
"HEART START HS1","012","28","최진근","02-2289-5405","서울특별시 강북구 월계로 173 북서울꿈의숲","0222895405","라포레스타 내","필립스","북서울꿈의숲아트센터","127.0400890531","37.6225678200"
"Hearton A10","031","08","안선민","2148-5492","서울특별시 종로구 지봉로 86 숭인제1동주민센터 (숭인동)","02-2148-5483","주민센터 내","메디아나","숭인1동주민센터","127.0156316538","37.5778298514"
"Hearton A10","031","95","이평우","6110-1291","서울특별시 종로구 종로 지하 216 1호선 종로5가역 (종로5가)","61101291","안내부스앞","메디아나","1호선 종로5가역","127.0019424594","37.5710301620"
"Heartstart Defibrillator FRX","049","63","심예슬","010-8162-9379","서울특별시 광진구 워커힐로 177  (광장동)","02-2022-0156","그랜드워커힐호텔 본관 1층 로비","필립스","sk네트웍스(주)워커힐","127.1117068379","37.5586300824"
"Heartstart Defibrillator FRX","049","63","심예슬","010-8162-9379","서울특별시 광진구 워커힐로 177  (광장동)","02-2022-0156","그랜드워커힐호텔 본관 B2 보안과","필립스","sk네트웍스(주)워커힐","127.1117068379","37.5586300824"
"HeartStart FRx","026","41","박효찬","010-5114-6006","서울특별시 동대문구 장안벚꽃로 77","02-2247-9772","1층 로비","필립스","동대문구민체육센터","127.0734723842","37.5665309897"
"AED-2100K","037","39","조진이","02-3150-1080","서울특별시 서대문구 통일로 97 경찰청 (미근동)","02-3150-1080","8층 상황실","니혼코덴","경찰청","126.9675474016","37.5635943043"
"US/LIFEPAK20","068","01","조진이","010-9965-1744","서울특별시 서초구 헌릉로 260","01099651744","재활의학과외래","메드트로닉싸이코컨트롤","서울특별시어린이병원","127.0688535528","37.4557176389"
"AED-2100K","055","84","서경찬","02-2147-3565","서울특별시 송파구 백제고분로 242 송파구민회관","0221473565","관리사무실 입구 왼쪽","니혼코덴","송파구민회관","127.0932224782","37.5021830838"
"AED-2100K","056","66","박사성","02-2203-3330","서울특별시 송파구 백제고분로42길 5 1층로비","0222033330","송파구여성문화회관 1층로비","NIHON","송파구여성문화회관","127.1097327360","37.5059305972"
"AED-2100K","080","95","홍성회","010-3014-2493","서울특별시 양천구 목동서로 349 센트럴프라자 (신정동)","01030142493","1층 로비 안내데스크 앞쪽","니혼코덴","센트럴프라자","126.8653068407","37.5174065358"
"861305 HeartStart Frx","034","33","강선미","02-3156-3312","서울특별시 은평구 갈현로7길 49 서울서북병원 (역촌동)","0231563312","서북병원 동관 1층(당직실옆)","Philips Medical","서울특별시서북병원","126.9056649134","37.6043580382"
"FRx","034","76","장정순(2층외래)","02-300-8014","서울특별시 은평구 백련산로 90 은평병원 (응암동)","023008014","은평병원 1층 응급진료실 안내데스크옆","Philips","서울특별시은평병원","126.9232108153","37.5939697216"
"FRx B09L-01361","017","97","김소라","02-970-5075","서울특별시 노원구 화랑로 621 서울여자대학교 (공릉동)","029705075","(공릉2동) 학생누리관 2층 보건실","PHILIPS","서울여자대학교","127.0904858650","37.6277723265"
"HEARTSTARTS FRX","018","97","이정희","010-8740-3925","서울특별시 노원구 광운로 20 광운대학교 (월계동)","01087403925","건강센터 내부","필립스","광운대학교","127.0575898553","37.6198265301"
"iPAD NF1200","053","14","이동우","02-488-5542","서울특별시 강동구 상암로 168","02-2045-7611","1층 로비내","(주)씨유메디칼시스템","강동구민회관","127.1410694792","37.5455101048"
"NF1200","050","91","진현정","010-2307-1096","서울특별시 광진구 뚝섬로 568 자양제3동주민센터 (자양동)","02-450-1817","민원실 내","씨유메디칼시스템","자양3동주민센터","127.0729024251","37.5338339360"
"NF-1200","049","15","도은지","010-8231-1141","서울특별시 광진구 긴고랑로12길 49 중곡제1동주민센터 (중곡동)","02-450-1015","민원실내","( 주)씨유메디칼시스템","중곡1동주민센터","127.0800508301","37.5606668136"
"NF-1200","049","77","김효은","010-9467-5463","서울특별시 광진구 광나루로37길 24-6 엠디타워 1층 (구의동)","02-450-1222","1층사무실 중간 수납장 위","(주)씨유메디칼시스템","구의2동주민센터","127.0883599150","37.5456163880"
"NF-1200","049","68","이수경","010-2582-2065","서울특별시 광진구 광장로 52 .","02-450-1509","민원실 내","(주)씨유메디칼시스템","광장동주민센터","127.1030121682","37.5468817707"
"NF1200","070","62","전혜진","02-2181-0226","서울특별시 동작구 여의대방로16길 61 기상청 (신대방동)","0221810226","기상청1층 당직실","씨유메디컬","기상청","126.9154348962","37.4970673798"
"Powerheart AED G3","069","73","김경미","02-6299-1368","서울특별시 동작구 흑석로 102 중앙대학교병원 (흑석동)","0262991368","중앙관1층로비","카디악사이언스","중앙대학교병원","126.9604217792","37.5060380050"
"Powerheart AED G3","069","73","김경미","02-6299-1368","서울특별시 동작구 흑석로 102 중앙대학교병원 (흑석동)","0262991368","중앙관2층 외래수납 앞","카디악사이언스","중앙대학교병원","126.9604217792","37.5060380050"
"HeartOn A10","083","64","윤미정","02-2614-1772","서울특별시 구로구 천왕로 91  (오류동 천왕 이펜하우스 1단지)","0226141772","관리사무소","메디아나","천왕이펜하우스1단지아파트","126.8374451609","37.4866893781"
"HeartOn A10","083","65","윤홍진","010-2977-9192","서울특별시 구로구 천왕로 92  (오류동 천왕이펜하우스2단지)","02-2060-3818","정문경비 1초소","메디아나","천왕이펜하우스2단지아파트","126.8389881756","37.4828637408"
"HeartOn A10","083","65","오종묵","011-9745-2954","서울특별시 구로구 천왕로 56  (천왕동 천왕 이펜하우스 3단지)","02-2689-1503","관리사무소","메디아나","천왕이펜하우스3단지아파트","126.8389881756","37.4828637408"
"HeartOn A10","083","64","이우철","010-5593-6309","서울특별시 구로구 천왕로 29  (천왕동 천왕 이펜하우스 4단지)","02-2611-3433","방재실","메디아나","천왕이펜하우스4단지아파트","126.8385945156","37.4808009766"
"HeartOn A10","083","65","오청일","010-2716-6155","서울특별시 구로구 천왕로 10  (천왕동 천왕 이펜하우스 5단지)","02-2615-6155","관리사무소","메디아나","천왕이펜하우스5단지아파트","126.8389881756","37.4828637408"
"HeartOn A10","083","64","하문숙","02-2686-1506","서울특별시 구로구 천왕로 9  (천왕동 천왕이펜하우스6단지)","0226861506","관리사무소","메디아나","천왕이펜하우스6단지아파트","126.8406795312","37.4786399448"
"HeartOn A10","037","43","조원석","02-330-8227","서울특별시 서대문구 성산로 694 천연동주민센터 (영천동)","02-330-8227","1층 민원실","메디아나","천연동주민센터","126.9590677168","37.5711148935"
"HeartOn A10","037","56","강경이","02-330-8153","서울특별시 서대문구 북아현로 24 북아현동주민센터 (북아현동)","02-330-8153","1층 민원인 대기실","메디아나","북아현동주민센터","126.9570364048","37.5594709598"
"HeartOn A10","036","32","정지일","010-3660-5321","서울특별시 서대문구 통일로34길 27 홍제제2동주민센터 (홍제동)","010-3660-5321","1층 장애인 화장실 앞","메디아나","홍제2동주민센터","126.9493691447","37.5861054747"
"HeartOn A10","037","09","조태순","02-330-8553","서울특별시 서대문구 수색로 100-55 북가좌1동주민센터 (북가좌동)","02-330-8553","1층 로비 왼쪽 벽","메디아나","북가좌1동주민센터","126.9101907263","37.5743026681"
"HeartOn A10","036","28","김종국","02-360-8515","서울특별시 서대문구 통일로 484 유진상가 공유캠퍼스 (홍제동)","02-360-8547","3층 복도 321호 우측","메디아나","신지식산업센터","126.9429421031","37.5916058948"
"HeartOn A10","041","53","이윤주","010-3232-5066","서울특별시 마포구 독막로 268","02-718-6942","관리사무소 내부","㈜메디아나","대흥동태영임대아파트","126.9428791437","37.5456615804"
"HeartOn A10","041","93","박성관","02-703-8120","서울특별시 마포구 백범로37길 6","027038120","관리사무소","메디아나","신공덕삼성임대아파트","126.9563522247","37.5424116582"
"HeartOn A10","041","87","주배성","02-718-9748","서울특별시 마포구 만리재로 74","027189748","관리사무소","메디아나","신공덕2차삼성래미안아파트(임대)","126.9588791981","37.5464841809"
"HeartON A10","043","03","문병국","02-703-6011","서울특별시 용산구 청파로83길 26","02-703-6011","4층 종합사무실과 상담실 사이","(주) 메디아나","청파노인복지관","126.9676967163","37.5520062592"
"HeartOn A10","120","100","양우리","330-8257","서울특별시 서대문구 세검정로1길 45","02-3140-8346","접수대 창가","메디아나","서대문구보건소홍은분소","126.9438965330","37.5932245337"
"HeartOn A10","120","848","유정원","330-1842","서울특별시 서대문구 연희로 290","07042641432","2층 정문 앞 계단","메디아나","서대문구치매안심센터","126.9364454337","37.5829292600"
"HeartOn A10","073","43","허지혜","010-6642-2151","서울특별시 영등포구 국제금융로 124 여의동주민센터","02-2670-1083","2층 안내데스크 옆","메디아나","여의동주민센터","126.9346140209","37.5176939121"
"HeartOn A10","072","06","이상헌(동장)","02-2670-1216","서울특별시 영등포구 양평로20길 8-1 양평2동주민센터","02-2670-1226","민원실","㈜메디아나","양평2동주민센터","126.8959322839","37.5377555245"
"HeartOn A10","073","84","최종란(동장)","010-6554-8209","서울특별시 영등포구 신길로41라길 13-8 신길3동주민센터","02-2670-1265","민원실 필기대 하부","메디아나","신길3동주민센터","126.9077495939","37.5072986726"
"HeartOn A10","027","72","역장","6311-6431","서울특별시 성북구 화랑로 지하 243 (석관동)","02-6311-6431","지하1층 아이센터 옆","메디아나","6호선 돌곶이역","127.0562741780","37.6113918125"
"HeartOn A10","027","73","역장","6311-6421","서울특별시 성북구 화랑로 지하 157 (상월곡동)","02-6311-6421","14번출구쪽 지하2층 대합실","메디아나","6호선 상월곡역","127.0483261685","37.6062635088"
"HeartOn A10","027","32","강채모","985-0161","서울특별시 성북구 삼양로2길 55 길음종합사회복지관 (길음동)","9850161","3층 사무실","메디아나","길음종합사회복지관","127.0267932613","37.6067227488"
